Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
2000,23,NWE,,12,1,0,,1,3,33.3,6,0,0.0,0,0.0,6,2.0,2.0,6.0,6.0,42.4,0,0,2.00,2.00,0.0,,,0
2001*,24,NWE,QB,12,15,14,11-3-0,264,413,63.9,2843,18,4.4,12,2.9,91,6.9,6.4,10.8,189.5,86.5,41,216,5.79,5.39,9.0,4,5,12
2002,25,NWE,QB,12,16,16,9-7-0,373,601,62.1,3764,28,4.7,14,2.3,49,6.3,6.1,10.1,235.3,85.7,31,190,5.66,5.54,4.9,2,3,13
2003,26,NWE,QB,12,16,16,14-2-0,317,527,60.2,3620,23,4.4,12,2.3,82,6.9,6.7,11.4,226.3,85.9,32,219,6.08,5.94,5.7,4,7,11
2004*,27,NWE,QB,12,16,16,14-2-0,288,474,60.8,3692,28,5.9,14,3.0,50,7.8,7.6,12.8,230.8,92.6,26,162,7.06,6.92,5.2,0,2,16
2005*,28,NWE,QB,12,16,16,10-6-0,334,530,63.0,4110,26,4.9,14,2.6,71,7.8,7.5,12.3,256.9,92.3,26,188,7.05,6.86,4.7,3,4,15
2006,29,NWE,QB,12,16,16,12-4-0,319,516,61.8,3529,24,4.7,12,2.3,62,6.8,6.7,11.1,220.6,87.9,26,175,6.19,6.08,4.8,3,3,14
2007*+,30,NWE,QB,12,16,16,16-0-0,398,578,68.9,4806,50,8.7,8,1.4,69,8.3,9.4,12.1,300.4,117.2,21,128,7.81,8.88,3.5,4,4,24
2008,31,NWE,qb,12,1,1,1-0-0,7,11,63.6,76,0,0.0,0,0.0,26,6.9,6.9,10.9,76.0,83.9,0,0,6.91,6.91,0.0,,,0
2009*,32,NWE,QB,12,16,16,10-6-0,371,565,65.7,4398,28,5.0,13,2.3,81,7.8,7.7,11.9,274.9,96.2,16,86,7.42,7.38,2.8,1,1,16
2010*+,33,NWE,QB,12,16,16,14-2-0,324,492,65.9,3900,36,7.3,4,0.8,79,7.9,9.0,12.0,243.8,111.0,25,175,7.21,8.25,4.8,2,3,18
2011*,34,NWE,QB,12,16,16,13-3-0,401,611,65.6,5235,39,6.4,12,2.0,99,8.6,9.0,13.1,327.2,105.6,32,173,7.87,8.25,5.0,2,3,20
2012*,35,NWE,QB,12,16,16,12-4-0,401,637,63.0,4827,34,5.3,8,1.3,83,7.6,8.1,12.0,301.7,98.7,27,182,7.00,7.48,4.1,1,2,18
2013*,36,NWE,QB,12,16,16,12-4-0,380,628,60.5,4343,25,4.0,11,1.8,81,6.9,6.9,11.4,271.4,87.3,40,256,6.12,6.13,6.0,5,5,13
